Batch Size, 1
Num Batches, 2552
kwin1_out,kwin2_out,kwinl_out,activations,sp_rows,sp_cols,mul_min,mul_max,mul_avg,mul_med,mul_std
72,369,362,300,160,130,18,45,30.220219435736677,30.0,4.187898517841031
141,720,220,300,160,133,14,48,30.422021943573668,30.0,4.732022669532873
249,934,264,300,160,159,17,45,30.262539184952978,30.0,4.02120645945099
311,117,215,300,160,160,15,43,28.50862068965517,28.0,4.2471551581768665
398,173,167,300,160,148,15,51,30.855015673981192,31.0,5.479455638169125
506,328,257,300,160,155,16,46,30.04153605015674,30.0,4.2304129678784825
550,570,242,300,160,130,16,47,30.898510971786834,31.0,4.79978098139023
551,753,166,300,160,154,15,47,30.782523510971785,31.0,4.57274451265035
484,113,354,300,160,133,17,48,31.779388714733543,32.0,4.811281635312228
424,146,213,300,160,139,16,47,29.516065830721004,29.0,4.888784318060981
317,290,206,300,160,148,16,46,30.276645768025077,30.0,4.241379237940997
191,498,297,300,160,161,16,43,28.773510971786834,29.0,4.305127863094338
94,630,221,300,160,172,16,48,32.01175548589342,32.0,5.219464389859879
38,98,330,300,160,156,14,48,31.288793103448278,31.0,4.875172189015924
84,145,242,300,160,146,14,45,28.40242946708464,28.0,4.357896704852718
157,345,469,300,160,176,15,49,30.400862068965516,30.0,4.584324785570468
228,529,307,300,160,143,15,44,29.46003134796238,29.0,4.053324190046106
312,732,239,300,160,158,15,46,28.595611285266457,28.0,4.729379878030421
367,85,251,300,160,149,18,51,32.448667711598745,32.0,4.901669293350099
458,170,173,300,160,145,15,46,30.765282131661444,31.0,4.285574146692215
517,336,113,300,160,130,16,49,31.130094043887148,31.0,4.927483889706669
501,554,197,300,160,136,16,43,29.262539184952978,29.0,4.616232210594724
473,653,11,300,160,136,14,48,28.318181818181817,28.0,4.6294357853933
392,227,217,300,160,163,14,44,27.65791536050157,27.0,4.569318084199397
294,268,248,300,160,174,13,46,28.836206896551722,29.0,4.587768872766052
167,273,193,300,160,153,15,46,28.412225705329153,28.0,4.444817460398924
86,229,327,300,160,145,16,45,31.354623824451412,31.0,4.632500079887037
50,153,303,300,160,141,18,45,31.66065830721003,32.0,4.283092173126423
83,311,181,300,160,150,14,47,29.73667711598746,30.0,4.672379616233152
137,411,244,300,160,145,16,43,29.937695924764892,30.0,3.7801605124669955
230,369,439,300,160,164,18,46,30.928291536050157,31.0,4.4700271993194445
298,348,281,300,160,151,16,51,32.14655172413793,32.0,4.71496274527497
375,276,334,300,160,144,15,44,29.135188087774296,29.0,4.816473499448802
416,591,172,300,160,139,16,44,29.385188087774296,29.0,4.197717327786142
466,844,283,300,160,145,17,48,31.612068965517242,32.0,4.7021783568170825
446,814,321,300,160,160,15,49,30.317006269592476,30.0,5.169256763693298
437,658,303,300,160,136,14,46,29.00626959247649,29.0,5.021657627886295
376,480,434,300,160,160,15,51,31.431818181818183,31.0,5.526373655945095
264,396,241,300,160,146,18,43,29.195532915360502,29.0,3.9599993011637666
167,532,230,300,160,153,13,45,28.495297805642632,28.0,4.39880752817539
81,550,382,300,160,152,16,48,29.211598746081506,29.0,4.466776373898574
41,477,208,300,160,147,15,44,28.25117554858934,28.0,4.018667084800841
81,330,225,300,160,142,17,45,29.407523510971785,29.0,4.109977897557692
145,414,320,300,160,157,16,46,31.4576802507837,31.0,4.565932415114194
204,435,270,300,160,157,15,48,30.435344827586206,30.0,5.1220729808258145
275,344,266,300,160,141,15,47,31.83973354231975,32.0,4.784684086737394
334,312,283,300,160,178,15,47,30.90242946708464,31.0,4.212177493738306
360,267,308,300,160,160,16,51,28.731583072100314,29.0,4.3692756731151485
381,239,206,300,160,144,15,45,30.72217868338558,31.0,4.5856540252777025
393,117,262,300,160,180,15,45,29.99177115987461,30.0,4.40739027384711
375,113,284,300,160,140,10,44,27.61167711598746,27.0,4.58335256098129
336,164,199,300,160,148,19,44,30.157523510971785,30.0,3.9419114611208066
247,181,290,300,160,142,14,48,28.551332288401255,28.0,4.950747840591407
156,632,268,300,160,147,16,50,29.439263322884013,29.0,4.387240414448703
72,492,150,300,160,147,18,43,29.315438871473354,29.0,4.14609154757483
77,330,243,300,160,120,17,45,29.703761755485893,30.0,4.81694874932092
99,217,267,300,160,129,15,45,29.039184952978058,29.0,4.269344758256465
163,193,262,300,160,131,16,48,32.60031347962382,32.0,4.883450386358522
194,846,340,300,160,181,15,46,30.70846394984326,31.0,4.673723367620183
233,717,187,300,160,139,16,52,28.852664576802507,29.0,4.203791852694756
256,451,128,300,160,139,13,46,29.95650470219436,30.0,4.3221640285251
308,256,229,300,160,155,16,50,30.648510971786834,31.0,4.765245881978215
324,196,248,300,160,145,17,45,30.375,30.0,4.555996298585774
314,637,211,300,160,165,16,47,31.260188087774296,31.0,4.744045728129009
271,505,239,300,160,137,17,46,31.191222570532915,31.0,4.569417701321006
221,342,232,300,160,140,16,46,29.515673981191224,29.5,4.380482370660547
165,226,46,300,160,144,16,46,29.813479623824453,29.0,4.542261336488451
111,203,232,300,160,155,17,45,30.854623824451412,31.0,4.3907437476884255
75,652,265,300,160,140,13,49,29.404388714733543,29.0,4.727971144868219
376,487,364,300,160,152,16,44,29.405956112852664,29.0,4.040131241616363
437,289,277,300,160,165,16,46,30.661833855799372,31.0,4.26618082496866
