Batch Size, 1
Num Batches, 2552
kwin1_out,kwin2_out,kwinl_out,activations,sp_rows,sp_cols,mul_min,mul_max,mul_avg,mul_med,mul_std
151,455,372,300,640,393,93,145,121.32288401253919,121.0,7.911044013769664
173,154,458,300,640,387,93,145,117.42633228840126,117.0,7.013817265184226
220,320,201,300,640,403,96,150,120.0724921630094,120.0,7.287630396674074
237,440,320,300,640,394,87,147,120.03056426332289,120.0,7.886131630615863
247,540,522,300,640,381,94,148,118.09365203761756,118.0,8.13971400169517
230,452,355,300,640,381,93,145,119.62343260188088,119.0,7.474437071369238
197,581,360,300,640,388,87,144,116.85109717868339,117.0,9.33286858903918
146,410,299,300,640,401,91,143,115.76253918495298,116.0,7.962738919957046
86,195,497,300,640,402,94,141,115.88244514106583,116.0,6.890566831739206
49,164,547,300,640,415,97,146,120.5787617554859,120.0,7.185794744887537
22,152,339,300,640,406,93,142,119.46630094043887,119.0,8.034338087939524
40,845,342,300,640,382,97,147,122.46473354231975,122.0,7.023048318758813
69,866,311,300,640,380,95,146,118.57092476489028,118.0,6.9863044094535205
108,720,297,300,640,404,93,143,118.57288401253919,119.0,7.860570912348009
131,570,271,300,640,387,99,148,122.30485893416927,122.0,6.756594936566809
161,420,637,300,640,402,93,145,117.20924764890282,117.0,7.280224582173492
182,885,338,300,640,394,95,147,118.2684169278997,118.0,7.801744399536614
192,927,470,300,640,417,96,145,119.66105015673982,120.0,7.4669545873399095
210,781,349,300,640,381,92,143,120.28918495297806,120.0,6.490485606711832
209,646,401,300,640,398,92,145,118.46316614420063,118.5,7.101495979576747
171,482,421,300,640,420,90,154,123.40047021943573,124.0,8.083195915306394
121,596,411,300,640,391,95,145,118.79467084639498,119.0,7.5500526146600055
76,577,453,300,640,392,96,148,120.24451410658307,120.0,7.686434718541677
28,409,297,300,640,418,95,140,117.79506269592477,118.0,7.191944558470913
17,385,582,300,640,404,92,148,120.50313479623824,120.0,8.18942028431288
30,311,397,300,640,409,95,141,119.17358934169279,119.0,6.63006179496296
62,454,528,300,640,399,98,148,121.48275862068965,122.0,7.554951286523032
102,425,270,300,640,406,95,148,118.48040752351098,119.0,7.639071639139522
111,307,396,300,640,400,97,146,122.75431034482759,123.0,8.192792358206647
127,233,522,300,640,433,97,143,119.11246081504702,119.0,6.8533886244090425
155,197,480,300,640,412,91,146,119.1896551724138,119.0,7.549009331519172
169,230,406,300,640,370,92,146,119.75626959247649,120.0,7.6121293987783885
170,287,382,300,640,424,96,146,120.54663009404389,120.0,7.244781145589948
157,379,257,300,640,420,89,143,120.16065830721003,120.0,7.070073860591403
143,542,587,300,640,388,95,140,118.46434169278997,119.0,6.779057828109379
105,681,322,300,640,371,95,146,119.57641065830721,120.0,7.5078616038594985
57,296,286,300,640,387,99,146,121.94710031347962,122.0,7.241735602638814
28,449,246,300,640,400,97,151,121.66105015673982,122.0,7.6523145940549995
30,549,480,300,640,391,89,139,116.39733542319749,117.0,7.726088146086369
45,589,390,300,640,377,96,146,118.98706896551724,119.0,7.544761237444165
64,644,436,300,640,416,93,142,118.05760188087774,118.0,7.364782453088012
83,252,552,300,640,413,96,149,121.24529780564264,121.0,8.207784638565226
80,384,298,300,640,388,94,151,119.41614420062696,119.0,7.922777143905801
97,414,363,300,640,372,96,149,119.6434169278997,120.0,7.647287034165184
129,413,463,300,640,409,98,145,120.76449843260188,121.0,7.480367815028661
147,433,225,300,640,436,98,149,122.54114420062696,123.0,7.826430179150144
132,195,282,300,640,380,97,146,123.08150470219435,123.0,7.307644230088898
124,242,556,300,640,377,95,144,119.31778996865204,119.0,7.03109061534221
90,250,343,300,640,411,91,146,117.58032915360502,117.0,8.113408841322748
71,230,332,300,640,414,94,150,120.1590909090909,120.0,7.690919234524981
53,247,244,300,640,400,92,149,118.57210031347962,118.0,8.479893551704786
36,140,453,300,640,407,94,142,117.50626959247649,117.0,6.764161380947972
278,138,175,300,640,415,95,144,118.99373040752351,119.0,8.024646099251294
353,156,294,300,640,411,94,150,122.47688087774294,122.0,8.094868434586859
486,201,409,300,640,384,87,144,117.68416927899686,118.0,8.470801787941463
645,196,518,300,640,368,98,143,118.64615987460814,118.0,7.084672690697483
846,865,257,300,640,409,101,143,120.875,121.0,6.667222171866498
1117,841,368,300,640,390,92,142,115.37891849529781,115.0,7.855438231068615
1324,497,352,300,640,378,91,141,118.35423197492163,118.0,7.333196685377969
1477,194,649,300,640,405,98,149,121.8044670846395,122.0,7.4815192651876705
1509,88,540,300,640,398,95,143,121.36559561128527,121.0,7.207784326409254
1414,767,455,300,640,395,91,149,118.12852664576802,118.0,7.2127283016460035
1259,822,258,300,640,385,97,148,123.5865987460815,123.0,7.044831296248357
1032,558,438,300,640,411,98,145,120.86050156739812,121.0,7.414992082626975
849,234,293,300,640,422,85,144,116.7884012539185,117.0,8.400714084560391
632,133,270,300,640,403,96,146,119.32719435736676,119.0,7.246331703893507
195,853,400,300,640,404,96,142,120.38557993730407,120.5,7.112249062894116
223,933,766,300,640,406,93,144,119.26763322884013,119.0,6.635736302722707
318,612,605,300,640,380,97,148,122.19161442006269,122.0,7.356604643203716
462,271,438,300,640,421,94,146,118.0626959247649,118.0,7.862203955583936
574,127,477,300,640,409,98,150,124.04545454545455,124.0,7.2405144756266
748,949,656,300,640,413,99,147,120.4134012539185,120.0,6.88886423878692
934,972,271,300,640,418,96,139,118.77076802507837,119.0,6.680836865866379
1063,612,284,300,640,419,92,148,116.14067398119123,116.0,7.57740872968597
1145,268,432,300,640,382,91,143,117.86167711598746,118.0,7.920455146421001
1108,116,357,300,640,424,95,142,118.45885579937304,118.0,7.385852353773758
976,883,327,300,640,411,96,144,121.90007836990596,122.0,7.245837632962979
790,917,558,300,640,390,98,142,119.16771159874608,119.0,6.902711163665167
605,535,385,300,640,402,95,144,119.3730407523511,119.0,7.626541295576618
461,231,441,300,640,406,90,146,119.27586206896552,119.0,6.95270050552539
168,153,253,300,640,413,96,139,117.44200626959248,117.0,6.801179391542923
188,919,451,300,640,396,90,149,121.09952978056427,121.0,8.180341894401554
